Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [specimen]	Characteristics[country]	Characteristics [continent]	Characteristics [city]	Characteristics [specimen]	Characteristics [organism]	Characteristics [fungus organism]	Characteristics [fungal strain]
CEC2019				cell culture	Niger	Africa	n/a	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC2019
CEC1427				cell culture	France	Europe	Lyon	blood	Homo sapiens	Candida albicans	Candida albicans CEC1427
CEC1492				cell culture			n/a		Homo sapiens	Candida albicans	Candida albicans CEC1492
CEC1424				cell culture	Niger	Africa	n/a	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC1424
CEC1426				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC1426
SC5314				cell culture	USA	North America	n/a	Disseminated candidiasis	Homo sapiens	Candida albicans	Candida albicans SC5314
CEC1289				cell culture	France	Europe	Paris	blood	Homo sapiens	Candida albicans	Candida albicans CEC1289
CEC2020				cell culture	Morocco	Africa	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC2020
CEC2021				cell culture	France	Europe	Paris	blood	Homo sapiens	Candida albicans	Candida albicans CEC2021
CEC3675				cell culture	France	Europe	Paris	blood	Homo sapiens	Candida albicans	Candida albicans CEC3675
CEC3674				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC3674
CEC4943				cell culture	India	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4943
CEC4944				cell culture	India	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4944
CEC3671				cell culture	France	Europe	Paris	blood	Homo sapiens	Candida albicans	Candida albicans CEC3671
CEC3669				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC3669
CEC3673				cell culture	France	Europe	Paris	blood	Homo sapiens	Candida albicans	Candida albicans CEC3673
CEC3672				cell culture	France	Europe	Paris	blood	Homo sapiens	Candida albicans	Candida albicans CEC3672
CEC4883				cell culture	China	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4883
CEC4884				cell culture	China	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4884
CEC4881				cell culture	China	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4881
CEC4882				cell culture	China	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4882
CEC4888				cell culture	China	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4888
CEC4889				cell culture	China	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4889
CEC4886				cell culture	China	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4886
CEC4887				cell culture	China	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4887
