Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics[city]	Characteristics[city]	Characteristics [organism]	Characteristics[environmental specimen]	Characteristics [fungus organism]	alternative sample ID	Characteristics [fungal strain]
AUS_1F4				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1F4	Parastagonospora nodorum AUS_1F4
SA_110				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_110	Parastagonospora nodorum SA_110
SA_80				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_80	Parastagonospora nodorum SA_80
SA_43				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_43	Parastagonospora nodorum SA_43
SA_107				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_107	Parastagonospora nodorum SA_107
SA_3				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_3	Parastagonospora nodorum SA_3
AUS_1F3				Bruce A. McDonald and Robert Loughman	2001	Australia	Oceania	 North of Narrogin	n/a	wheat	leaf	Parastagonospora nodorum	SNAus01_1F3	Parastagonospora nodorum AUS_1F3
SA_25				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_25	Parastagonospora nodorum SA_25
SA_22				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_22	Parastagonospora nodorum SA_22
SA_20				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_20	Parastagonospora nodorum SA_20
