Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics [specimen]	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]
H-1-1-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/17	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus H-1-1-2
C-1-66L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-66L-2
K-1-8L-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-8L-3
K-1-48s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-48s-1
NRZ-2017-040	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/17	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2017-040
K-1-18L-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-18L-3
NRZ-2017-039	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			NRZMyk	1/1/17	Germany	Europe	clinical laboratory sample	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus NRZ-2017-039
D-2-15L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/8/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus D-2-15L-2
C-1-77s-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-77s-2
B-1-46-5	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/4/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus B-1-46-5
A-2-43L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-43L-2
D-2-48L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus D-2-48L-1
D-2-43s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus D-2-43s-1
D-2-50s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus D-2-50s-1
A-2-45L-5	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-45L-5
F-1-39-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/27/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus F-1-39-1
K-1-34L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/3/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus K-1-34L-1
D-2-49L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus D-2-49L-2
A-2-44L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-44L-2
A-2-35L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-35L-1
F-1-42-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/27/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus F-1-42-2
D-2-47L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus D-2-47L-2
A-2-34L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-34L-2
C-1-34s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/8/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-34s-1
C-1-69s-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-69s-1
C-1-99L-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-99L-2
A-3-30s-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-3-30s-2
