Name	Description	SourceMTOverride	SampleMTOverride	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics [city]	Characteristics [host_common_name]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [fungus organism]	Characteristics [fungal strain]
B16461	Aligned genome sequence reads - Candida auris clinical isolates			8-Oct-14	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16461
B16459	Aligned genome sequence reads - Candida auris clinical isolates			16-Aug-14	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16459
B16457	Aligned genome sequence reads - Candida auris clinical isolates			22-May-14	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16457
B16454	Aligned genome sequence reads - Candida auris clinical isolates			15-Apr-14	Kenya	Africa		Homo sapiens	VASCULAR TIP	Candida infection or colonization	Candida auris	Candida auris B16454
B16451	Aligned genome sequence reads - Candida auris clinical isolates			7-Apr-14	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16451
B16448	Aligned genome sequence reads - Candida auris clinical isolates			2-Apr-14	Kenya	Africa		Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B16448
B16445	Aligned genome sequence reads - Candida auris clinical isolates			21-Mar-14	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16445
B16444	Aligned genome sequence reads - Candida auris clinical isolates			25-Feb-14	Kenya	Africa		Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B16444
B16441	Aligned genome sequence reads - Candida auris clinical isolates			22-Oct-13	Kenya	Africa		Homo sapiens	PLEURAL	Candida infection or colonization	Candida auris	Candida auris B16441
B16440	Aligned genome sequence reads - Candida auris clinical isolates			16-Feb-14	Kenya	Africa		Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B16440
B16439	Aligned genome sequence reads - Candida auris clinical isolates			11-Feb-14	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16439
B16438	Aligned genome sequence reads - Candida auris clinical isolates			5-Feb-14	Kenya	Africa		Homo sapiens	CVC	Candida infection or colonization	Candida auris	Candida auris B16438
