Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [country]	Characteristics [city]	specimen collection year	Characteristics [parasite organism]	Characteristics [parasite strain]	Characteristics [organism]	Characteristics [host_common_name]	
BHU931_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Marwan, Karja, Mokadampur Kodariya	2010	Leishmania donovani	Leishmania donovani BHU931_0	Homo sapiens	human
BHU975_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Pakri, Kudhani, Ladaura	2010	Leishmania donovani	Leishmania donovani BHU975_0	Homo sapiens	human
BHU982_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Motipur, Motipur, Ajana Kot	2010	Leishmania donovani	Leishmania donovani BHU982_0	Homo sapiens	human
BHU994_1	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Jalalpur, Mushari, Baikatpur	2010	Leishmania donovani	Leishmania donovani BHU994_1	Homo sapiens	human
BPK025_0cl1	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Chandbela	2002	Leishmania donovani	Leishmania donovani BPK025_0cl1	Homo sapiens	human
BPK026_0cl5	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Bhojpur, Bastim	2002	Leishmania donovani	Leishmania donovani BPK026_0cl5	Homo sapiens	human
BPK029_0cl6	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Purwa Kusaha	2002	Leishmania donovani	Leishmania donovani BPK029_0cl6	Homo sapiens	human
BPK035_0cl1	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Bhagani	2002	Leishmania donovani	Leishmania donovani BPK035_0cl1	Homo sapiens	human
BPK043_0cl2	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Chatra	2002	Leishmania donovani	Leishmania donovani BPK043_0cl2	Homo sapiens	human
BPK066_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Aurabani	2002	Leishmania donovani	Leishmania donovani BPK066_0	Homo sapiens	human
BPK067_0cl2	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Sundarpur	2002	Leishmania donovani	Leishmania donovani BPK067_0cl2	Homo sapiens	human
BPK077_0cl5	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Phattepur	2002	Leishmania donovani	Leishmania donovani BPK077_0cl5	Homo sapiens	human
BPK080_0cl1	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Ithahari	2002	Leishmania donovani	Leishmania donovani BPK080_0cl1	Homo sapiens	human
BPK081_0cl8	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Pakali	2002	Leishmania donovani	Leishmania donovani BPK081_0cl8	Homo sapiens	human
BPK085_0cl8	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Kamalpur	2002	Leishmania donovani	Leishmania donovani BPK085_0cl8	Homo sapiens	human
BPK087_0cl11	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Bhodaha	2002	Leishmania donovani	Leishmania donovani BPK087_0cl11	Homo sapiens	human
BPK090_0cl4	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Itahari	2002	Leishmania donovani	Leishmania donovani BPK090_0cl4	Homo sapiens	human
BPK156_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Bhojpur, Yampang	2002	Leishmania donovani	Leishmania donovani BPK156_0	Homo sapiens	human
BPK158_0cl9	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Jhapa, Damak	2002	Leishmania donovani	Leishmania donovani BPK158_0cl9	Homo sapiens	human
BPK173_0cl3	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sarlahi, Pirari	2002	Leishmania donovani	Leishmania donovani BPK173_0cl3	Homo sapiens	human
BPK173_1cl9	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sarlahi, Pirari	2003	Leishmania donovani	Leishmania donovani BPK173_1cl9	Homo sapiens	human
BPK177_0cl7	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Dhanusa, Sarsa	2002	Leishmania donovani	Leishmania donovani BPK177_0cl7	Homo sapiens	human
BPK178_0cl3	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Inaruwa	2002	Leishmania donovani	Leishmania donovani BPK178_0cl3	Homo sapiens	human
BPK181_0cl1	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Dumraha	2003	Leishmania donovani	Leishmania donovani BPK181_0cl1	Homo sapiens	human
BPK181_12	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Dumraha	2003	Leishmania donovani	Leishmania donovani BPK181_12	Homo sapiens	human
BPK190_0cl3	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Govindpur	2003	Leishmania donovani	Leishmania donovani BPK190_0cl3	Homo sapiens	human
BPK206_0cl10	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Ithahari	2003	Leishmania donovani	Leishmania donovani BPK206_0cl10	Homo sapiens	human
BPK208_0cl2	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Itahari	2003	Leishmania donovani	Leishmania donovani BPK208_0cl2	Homo sapiens	human
BPK274_0cl5	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Itahari	2003	Leishmania donovani	Leishmania donovani BPK274_0cl5	Homo sapiens	human
BPK275_0cl18	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Schanischare	2003	Leishmania donovani	Leishmania donovani BPK275_0cl18	Homo sapiens	human
BPK275_1cl3	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Schanischare	2003	Leishmania donovani	Leishmania donovani BPK275_1cl3	Homo sapiens	human
BPK276_0cl6	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Itahari	2003	Leishmania donovani	Leishmania donovani BPK276_0cl6	Homo sapiens	human
BPK279_0cl6	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Sanischare	2003	Leishmania donovani	Leishmania donovani BPK279_0cl6	Homo sapiens	human
BPK280_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Somnath	2003	Leishmania donovani	Leishmania donovani BPK280_0	Homo sapiens	human
BPK282_0cl4	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Inaruwa	2003	Leishmania donovani	Leishmania donovani BPK282_0cl4	Homo sapiens	human
BPK288_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Sitapur	2003	Leishmania donovani	Leishmania donovani BPK288_0	Homo sapiens	human
BPK293_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Inaruwa	2003	Leishmania donovani	Leishmania donovani BPK293_0	Homo sapiens	human
BPK294_0cl1	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Siraha, Bishnupur	2003	Leishmania donovani	Leishmania donovani BPK294_0cl1	Homo sapiens	human
BPK295_0cl6	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Siraha, Pipra	2003	Leishmania donovani	Leishmania donovani BPK295_0cl6	Homo sapiens	human
BPK298_0cl8	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Ithahari	2003	Leishmania donovani	Leishmania donovani BPK298_0cl8	Homo sapiens	human
BPK344_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Saptari, Sitapur	2004	Leishmania donovani	Leishmania donovani BPK344_0	Homo sapiens	human
BPK345_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	unknown	2004	Leishmania donovani	Leishmania donovani BPK345_0	Homo sapiens	human
BPK375_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	unknown	2004	Leishmania donovani	Leishmania donovani BPK375_0	Homo sapiens	human
BPK380_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	unknown	2004	Leishmania donovani	Leishmania donovani BPK380_0	Homo sapiens	human
BPK411_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Dharan	2009	Leishmania donovani	Leishmania donovani BPK411_0	Homo sapiens	human
BPK413_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Dharan	2009	Leishmania donovani	Leishmania donovani BPK413_0	Homo sapiens	human
BPK433_0	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Sunsari, Duhabi	2009	Leishmania donovani	Leishmania donovani BPK433_0	Homo sapiens	human
BPK455_0cl2	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Sundarpur	2009	Leishmania donovani	Leishmania donovani BPK455_0cl2	Homo sapiens	human
BPK455_5cl3	Genomic diversity in Leishmania donovani in Indian subcontinent			Nepal	Morang, Sundarpur	2010	Leishmania donovani	Leishmania donovani BPK455_5cl3	Homo sapiens	human
