name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_subject_id	latitude	longitude	region	sample_type	sequencecenter	title
1927.SRS056329.SRX020540.SRR047293	Sample 1927.SRS056329.SRX020540.SRR047293			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	human-associated habitat		USA	700103631	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056350.SRX020567.SRR049483	Sample 1927.SRS056350.SRX020567.SRR049483			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700106510	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056363.SRX020568.SRR046780	Sample 1927.SRS056363.SRX020568.SRR046780			UBERON:vagina	UBERON:mucus	UBERON:posterior fornix of vagina	97	urban biome	human-associated habitat		USA	700103305	39	-77	V1-V3	Vaginal swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056396.SRX020514.SRR046722	Sample 1927.SRS056396.SRX020514.SRR046722			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700105144	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056424.SRX020527.SRR047157	Sample 1927.SRS056424.SRX020527.SRR047157			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700105964	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056430.SRX020525.SRR044546	Sample 1927.SRS056430.SRX020525.SRR044546			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700106040	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056433.SRX022241.SRR058097	Sample 1927.SRS056433.SRX022241.SRR058097			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700109908	39	-77	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056456.SRX022225.SRR058088	Sample 1927.SRS056456.SRX022225.SRR058088			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700110407	39	-77	V3-V1	Skin swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056460.SRX022224.SRR058087	Sample 1927.SRS056460.SRX022224.SRR058087			UBERON:oral cavity	UBERON:mucus	UBERON:throat	97	urban biome	human-associated habitat		USA	700110199	39	-77	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056473.SRX020670.SRR047665	Sample 1927.SRS056473.SRX020670.SRR047665			UBERON:skin	UBERON:sebum	UBERON:anterior nares	97	urban biome	human-associated habitat		USA	700103702	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056480.SRX020677.SRR047970	Sample 1927.SRS056480.SRX020677.SRR047970			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	human-associated habitat		USA	700102277	39	-77	V1-V3	Oral swab	BCM	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056485.SRX020578.SRR047246	Sample 1927.SRS056485.SRX020578.SRR047246			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700105392	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056493.SRX020514.SRR046772	Sample 1927.SRS056493.SRX020514.SRR046772			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700105201	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056493.SRX020550.SRR046443	Sample 1927.SRS056493.SRX020550.SRR046443			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	human-associated habitat		USA	700105201	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056511.SRX020514.SRR046712	Sample 1927.SRS056511.SRX020514.SRR046712			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700103521	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056511.SRX020550.SRR046430	Sample 1927.SRS056511.SRX020550.SRR046430			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700103521	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056515.SRX020567.SRR046767	Sample 1927.SRS056515.SRX020567.SRR046767			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700105108	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056523.SRX020580.SRR047146	Sample 1927.SRS056523.SRX020580.SRR047146			UBERON:skin	UBERON:sebum	UBERON:anterior nares	97	urban biome	human-associated habitat		USA	700105447	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056529.SRX020670.SRR046251	Sample 1927.SRS056529.SRX020670.SRR046251			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	human-associated habitat		USA	700105429	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056542.SRX022244.SRR058107	Sample 1927.SRS056542.SRX022244.SRR058107			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700107238	39	-77	V3-V1	Skin swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056561.SRX022224.SRR058087	Sample 1927.SRS056561.SRX022224.SRR058087			UBERON:vagina	UBERON:mucus	UBERON:vaginal introitus	97	urban biome	human-associated habitat		USA	700109378	39	-77	V3-V1	Vaginal swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056576.SRX022156.SRR058115	Sample 1927.SRS056576.SRX022156.SRR058115			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700109141	39	-77	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056606.SRX022241.SRR058097	Sample 1927.SRS056606.SRX022241.SRR058097			UBERON:oral cavity	UBERON:saliva	UBERON:mouth	97	urban biome	human-associated habitat		USA	700109835	39	-77	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
